Zaman damgası,Pozisyon,Seviye,Deneyim,Teknoloji,Lokasyon (Firma),Çalışma Şekli,Şirket Çalışan Sayısı,Maaş Cinsi,Maaş / Aylık (NET)
23.01.2023 10:39:30,Backend Developer,Senior,7-9 Yıl,"Javascript, PHP / Laravel",Türkiye,Hybrid,0-10,Türk Lirası,16.000 - 20.000 TL
24.01.2023 11:01:17,Frontend Developer,Senior,7-9 Yıl,Vue,Türkiye,Hybrid,0-10,Türk Lirası,26.000 - 30.000 TL
23.01.2023 07:50:38,Yönetici / Müdür,Tanımsız,7-9 Yıl,"Vue, NodeJS, Javascript, Java / Spring, C# / .NET Framework",Türkiye,Remote,0-10,Türk Lirası,36.000 - 40.000 TL
23.01.2023 01:36:08,Backend Developer,Senior,7-9 Yıl,C# / .NET Framework,Türkiye,Remote,0-10,Türk Lirası,41.000 - 45.000 TL
23.01.2023 12:14:05,Fullstack Developer,Senior,7-9 Yıl,"Vue, C# / .NET Framework, React Native",Türkiye,Remote,0-10,Türk Lirası,41.000 - 45.000 TL
24.01.2023 09:40:34,Backend Developer,Senior,7-9 Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,11.000 - 15.000 TL
23.01.2023 11:31:44,Fullstack Developer,Senior,7-9 Yıl,"React / NextJS, Vue, NodeJS, Javascript, Java / Spring, React Native, Figma",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,26.000 - 30.000 TL
22.01.2023 19:08:13,Fullstack Developer,Senior,7-9 Yıl,"Angular, C# / .NET Framework",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,31.000 - 35.000 TL
22.01.2023 21:22:15,Fullstack Developer,Mid,4-6 Yıl,PHP / Laravel,Türkiye,Hybrid,0-10,Türk Lirası,16.000 - 20.000 TL
22.01.2023 20:54:16,Fullstack Developer,Mid,4-6 Yıl,"Vue, C# / .NET Framework, PHP / Laravel",Türkiye,Hybrid,0-10,Türk Lirası,21.000 - 25.000 TL
22.01.2023 22:36:40,Fullstack Developer,Mid,4-6 Yıl,"Javascript, C# / .NET Framework",Türkiye,Hybrid,0-10,Türk Lirası,26.000 - 30.000 TL
23.01.2023 10:57:52,Fullstack Developer,Mid,4-6 Yıl,"React / NextJS, C# / .NET Framework",Türkiye,Hybrid,0-10,Türk Lirası,26.000 - 30.000 TL
23.01.2023 12:23:55,Backend Developer,Mid,4-6 Yıl,Java / Spring,Türkiye,Hybrid,0-10,Türk Lirası,36.000 - 40.000 TL
22.01.2023 23:27:08,Backend Developer,Mid,4-6 Yıl,C# / .NET Framework,Türkiye,Remote,0-10,Türk Lirası,16.000 - 20.000 TL
23.01.2023 08:56:37,Backend Developer,Mid,4-6 Yıl,"Javascript, PHP / Laravel, React Native",Türkiye,Remote,0-10,Türk Lirası,21.000 - 25.000 TL
23.01.2023 09:08:53,Tasarımcı,Senior,4-6 Yıl,Unreal,Türkiye,Remote,0-10,Türk Lirası,21.000 - 25.000 TL
22.01.2023 19:57:43,Backend Developer,Senior,4-6 Yıl,"Javascript, PHP / Laravel",Türkiye,Remote,0-10,Euro,26.000 - 30.000 TL
22.01.2023 22:42:59,Fullstack Developer,Mid,4-6 Yıl,"React / NextJS, Javascript, C# / .NET Framework",Türkiye,Remote,0-10,Türk Lirası,26.000 - 30.000 TL
23.01.2023 18:26:56,Game Developer / Oyun Geliştirici,Senior,4-6 Yıl,Unity,Türkiye,Remote,0-10,Türk Lirası,26.000 - 30.000 TL
23.01.2023 18:30:30,Game Developer / Oyun Geliştirici,Senior,4-6 Yıl,Unity,Türkiye,Remote,0-10,Türk Lirası,31.000 - 35.000 TL
22.01.2023 23:35:37,Backend Developer,Senior,4-6 Yıl,C# / .NET Framework,Türkiye,Remote,0-10,Türk Lirası,36.000 - 40.000 TL
22.01.2023 23:02:52,Fullstack Developer,Senior,4-6 Yıl,"Vue, NodeJS, Javascript, PHP / Laravel",Türkiye,Remote,0-10,Türk Lirası,41.000 - 45.000 TL
22.01.2023 19:35:19,Tasarımcı,Mid,4-6 Yıl,Figma,Türkiye,Remote,0-10,Türk Lirası,5000 - 10.000 TL
22.01.2023 23:15:12,Fullstack Developer,Senior,4-6 Yıl,"NodeJS, Javascript, C# / .NET Framework",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,11.000 - 15.000 TL
22.01.2023 23:23:34,Backend Developer,Mid,4-6 Yıl,"React / NextJS, Vue, Javascript, PHP / Laravel, React Native",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,11.000 - 15.000 TL
23.01.2023 11:32:06,Avukat,Tanımsız,4-6 Yıl,Hukuk,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,11.000 - 15.000 TL
22.01.2023 22:07:32,Fullstack Developer,Mid,4-6 Yıl,"React / NextJS, Javascript, Java / Spring",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,16.000 - 20.000 TL
23.01.2023 17:48:24,Backend Developer,Junior,4-6 Yıl,Python,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,16.000 - 20.000 TL
22.01.2023 21:38:07,Backend Developer,Mid,4-6 Yıl,"C# / .NET Framework, PHP / Laravel",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,21.000 - 25.000 TL
23.01.2023 07:45:59,Backend Developer,Mid,4-6 Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,21.000 - 25.000 TL
22.01.2023 20:02:51,Mobile Developer,Senior,4-6 Yıl,Flutter,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,31.000 - 35.000 TL
22.01.2023 22:37:39,Backend Developer,Senior,10+ Yıl,"Vue, Java / Spring",Türkiye,Hybrid,0-10,Türk Lirası,31.000 - 35.000 TL
23.01.2023 02:15:26,Fullstack Developer,Senior,10+ Yıl,"React / NextJS, Vue, NodeJS, Javascript, Scala",Türkiye,Remote,0-10,Türk Lirası,101.000 - 120.000 TL
22.01.2023 21:47:57,Fullstack Developer,Senior,10+ Yıl,"React / NextJS, Vue, NodeJS, Javascript, PHP / Laravel",Türkiye,Remote,0-10,Türk Lirası,21.000 - 25.000 TL
26.01.2023 16:28:24,Backend Developer,Junior,10+ Yıl,PHP / Laravel,Türkiye,Remote,0-10,Türk Lirası,36.000 - 40.000 TL
23.01.2023 00:18:16,Fullstack Developer,Senior,10+ Yıl,"Vue, NodeJS, Javascript, PHP / Laravel, Go, Rust, Aws, Azure, Sonar, Nuxt",Türkiye,Remote,0-10,Türk Lirası,46.000 - 50.000 TL
23.01.2023 15:35:08,Backend Developer,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Remote,0-10,Türk Lirası,46.000 - 50.000 TL
22.01.2023 21:09:31,Fullstack Developer,Mid,10+ Yıl,"Javascript, C# / .NET Framework",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,11.000 - 15.000 TL
22.01.2023 21:50:33,Yönetici / Müdür,Senior,10+ Yıl,"React / NextJS, NodeJS, Javascript, C# / .NET Framework",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,16.000 - 20.000 TL
22.01.2023 23:07:32,Fullstack Developer,Senior,10+ Yıl,"React / NextJS, NodeJS, Javascript, Flutter",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,21.000 - 25.000 TL
23.01.2023 11:46:13,Fullstack Developer,Tanımsız,10+ Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,21.000 - 25.000 TL
23.01.2023 11:56:53,Fullstack Developer,Senior,10+ Yıl,"NodeJS, Javascript, PHP / Laravel",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,26.000 - 30.000 TL
23.01.2023 23:06:45,Embedded,Senior,10+ Yıl,"C# / .NET Framework, C / C++",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,31.000 - 35.000 TL
23.01.2023 00:06:36,Fullstack Developer,Senior,10+ Yıl,C# / .NET Framework,Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,41.000 - 45.000 TL
23.01.2023 17:01:14,Fullstack Developer,Senior,10+ Yıl,"React / NextJS, Angular, Vue, NodeJS, Javascript, C# / .NET Framework, PHP / Laravel, Flutter",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,46.000 - 50.000 TL
25.01.2023 15:28:58,Fullstack Developer,Senior,10+ Yıl,"React / NextJS, Angular, Javascript, C# / .NET Framework, Swift, C / C++",Türkiye,Yerinde / Ofiste,0-10,Türk Lirası,56.000 - 60.000 TL
22.01.2023 19:10:58,Fullstack Developer,Mid,1-3 Yıl,"React / NextJS, NodeJS, Javascript, React Native",Türkiye,Hybrid,0-10,Türk Lirası,11.000 - 15.000 TL
22.01.2023 20:30:09,Fullstack Developer,Junior,1-3 Yıl,"Javascript, C# / .NET Framework, React Native",Türkiye,Hybrid,0-10,Türk Lirası,11.000 - 15.000 TL
